Response ID,Time Started,Date Submitted,Status,Legacy Comments,Comments,Language,Referer,User Agent,Tags,Chrome desktop:A web feature must be supported by these browsers before you can use it:,Chrome on Android:A web feature must be supported by these browsers before you can use it:,Android Webview:A web feature must be supported by these browsers before you can use it:,Firefox desktop:A web feature must be supported by these browsers before you can use it:,Firefox on Android:A web feature must be supported by these browsers before you can use it:,Edge desktop:A web feature must be supported by these browsers before you can use it:,Internet Explorer:A web feature must be supported by these browsers before you can use it:,Safari desktop:A web feature must be supported by these browsers before you can use it:,Safari on iOS:A web feature must be supported by these browsers before you can use it:,Opera desktop:A web feature must be supported by these browsers before you can use it:,Opera on Android:A web feature must be supported by these browsers before you can use it:,Samsung Internet:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,"For those browsers, how far back do they need to support a feature before you can use it?","Do you need other browsers to be included in the compatibility tables on MDN? If so, tell us which ones:",How important is it for you to know about browser support for experimental features that must be enabled by the user?,How important is it for you to know whether a browser is planning to ship a feature behind a user preference in an upcoming release?
515,"Oct 20, 2022 11:45:00 pm","Oct 20, 2022 11:45:00 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Very important,Very important
516,"Oct 20, 2022 11:59:31 pm","Oct 20, 2022 11:59:31 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Somewhat important,Somewhat important
517,"Oct 21, 2022 12:01:24 am","Oct 21, 2022 12:01:24 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Somewhat important
518,"Oct 21, 2022 12:17:33 am","Oct 21, 2022 12:17:33 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Very important,Somewhat important
519,"Oct 21, 2022 12:25:58 am","Oct 21, 2022 12:25:58 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,,,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Somewhat important
520,"Oct 21, 2022 12:28:07 am","Oct 21, 2022 12:28:08 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,,,,,,,,,,Current major version is enough,Nintendo DS Browser,,
521,"Oct 21, 2022 12:38:30 am","Oct 21, 2022 12:38:30 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Neutral
522,"Oct 21, 2022 1:22:22 am","Oct 21, 2022 1:22:22 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Not important,Not important
523,"Oct 21, 2022 1:37:15 am","Oct 21, 2022 1:37:15 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Very important,Not important
524,"Oct 21, 2022 2:02:35 am","Oct 21, 2022 2:02:35 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Very important,Very important
525,"Oct 21, 2022 2:10:11 am","Oct 21, 2022 2:10:11 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
526,"Oct 21, 2022 2:15:12 am","Oct 21, 2022 2:15:12 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,,,,,Safari desktop,Safari on iOS,,,Samsung Internet,,,,,Current major version is enough,,Not important,Very important
527,"Oct 21, 2022 2:24:11 am","Oct 21, 2022 2:24:11 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,,,,,,,Other - Please specify,,duckduckgo on Android,Current major version is enough,duckduckgo mobile browser,Not important,Somewhat important
528,"Oct 21, 2022 2:24:33 am","Oct 21, 2022 2:24:33 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in current and previous major version,No,Somewhat important,Neutral
529,"Oct 21, 2022 2:24:42 am","Oct 21, 2022 2:24:42 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Somewhat important
530,"Oct 21, 2022 2:26:12 am","Oct 21, 2022 2:26:12 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
531,"Oct 21, 2022 2:52:22 am","Oct 21, 2022 2:52:22 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,,,,,,Needs to be supported in more than current and previous major version,,Very important,Very important
532,"Oct 21, 2022 3:05:18 am","Oct 21, 2022 3:05:18 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Not important,Neutral
533,"Oct 21, 2022 3:31:09 am","Oct 21, 2022 3:31:09 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Neutral
534,"Oct 21, 2022 3:46:50 am","Oct 21, 2022 3:46:50 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,,Safari on iOS,,,,,,,,Current major version is enough,,Neutral,Somewhat important
535,"Oct 21, 2022 3:57:13 am","Oct 21, 2022 3:57:13 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Somewhat important,Neutral
536,"Oct 21, 2022 4:08:33 am","Oct 21, 2022 4:08:33 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,Brave,Somewhat important,Somewhat important
537,"Oct 21, 2022 4:09:07 am","Oct 21, 2022 4:09:07 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,Other - Please specify,,Brave (chromium based),Needs to be supported in current and previous major version,,Neutral,Neutral
538,"Oct 21, 2022 4:11:36 am","Oct 21, 2022 4:11:36 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Neutral
539,"Oct 21, 2022 5:00:17 am","Oct 21, 2022 5:00:17 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Very important,Somewhat important
540,"Oct 21, 2022 5:11:56 am","Oct 21, 2022 5:11:56 am",Complete,,,English,https://developer.mozilla.org/,,,,Chrome on Android,,Firefox desktop,,,,Safari desktop,,,,,,,,,Current major version is enough,,Not important,Not important
541,"Oct 21, 2022 5:29:43 am","Oct 21, 2022 5:29:43 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Very important,Somewhat important
542,"Oct 21, 2022 5:41:09 am","Oct 21, 2022 5:41:09 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Not important,Neutral
543,"Oct 21, 2022 5:42:55 am","Oct 21, 2022 5:42:55 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
544,"Oct 21, 2022 5:55:39 am","Oct 21, 2022 5:55:39 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Very important,Very important
545,"Oct 21, 2022 6:03:07 am","Oct 21, 2022 6:03:07 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
546,"Oct 21, 2022 6:08:24 am","Oct 21, 2022 6:08:24 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
547,"Oct 21, 2022 6:08:44 am","Oct 21, 2022 6:08:44 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,Opera on Android,,,,,,Depends on the browser,,Very important,Very important
548,"Oct 21, 2022 6:08:52 am","Oct 21, 2022 6:08:52 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Neutral,Somewhat important
549,"Oct 21, 2022 6:17:27 am","Oct 21, 2022 6:17:27 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Not important,Somewhat important
550,"Oct 21, 2022 6:42:34 am","Oct 21, 2022 6:42:34 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Somewhat important,Very important
551,"Oct 21, 2022 6:46:35 am","Oct 21, 2022 6:46:35 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Very important
552,"Oct 21, 2022 7:08:05 am","Oct 21, 2022 7:08:05 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Not important,Not important
553,"Oct 21, 2022 7:34:11 am","Oct 21, 2022 7:34:11 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Somewhat important
554,"Oct 21, 2022 7:34:14 am","Oct 21, 2022 7:34:14 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in current and previous major version,,Very important,Very important
555,"Oct 21, 2022 8:01:11 am","Oct 21, 2022 8:01:11 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Somewhat important
556,"Oct 21, 2022 8:12:42 am","Oct 21, 2022 8:12:42 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Needs to be supported in current and previous major version,,Not important,Not important
557,"Oct 21, 2022 8:14:00 am","Oct 21, 2022 8:14:00 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Very important,Somewhat important
558,"Oct 21, 2022 8:57:30 am","Oct 21, 2022 8:57:30 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,,Chrome on Android,,Firefox desktop,Firefox on Android,,,,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
559,"Oct 21, 2022 9:11:40 am","Oct 21, 2022 9:11:40 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Somewhat important
560,"Oct 21, 2022 9:12:01 am","Oct 21, 2022 9:12:01 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Current major version is enough,,Very important,Very important
561,"Oct 21, 2022 9:16:05 am","Oct 21, 2022 9:16:05 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Current major version is enough,,Neutral,Somewhat important
562,"Oct 21, 2022 9:52:48 am","Oct 21, 2022 9:52:48 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Somewhat important,Somewhat important
563,"Oct 21, 2022 9:53:22 am","Oct 21, 2022 9:53:23 am",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,,,,,,Other - Please specify,,"tor,brave",Current major version is enough,"tor, brave",Very important,Very important
564,"Oct 21, 2022 9:57:13 am","Oct 21, 2022 9:57:13 am",Complete,,,English,https://developer.mozilla.org/,,,,Chrome on Android,,,,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Very important,Very important
565,"Oct 21, 2022 10:00:25 am","Oct 21, 2022 10:00:25 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,Other - Please specify,,,Current major version is enough,,Neutral,Neutral
566,"Oct 21, 2022 10:10:33 am","Oct 21, 2022 10:10:33 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Very important
567,"Oct 21, 2022 10:52:43 am","Oct 21, 2022 10:52:43 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Somewhat important
568,"Oct 21, 2022 10:53:49 am","Oct 21, 2022 10:53:49 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Very important
569,"Oct 21, 2022 11:13:48 am","Oct 21, 2022 11:13:48 am",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Very important,Somewhat important
570,"Oct 21, 2022 11:30:00 am","Oct 21, 2022 11:30:01 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,n/a,Very important,Very important
571,"Oct 21, 2022 11:33:52 am","Oct 21, 2022 11:33:52 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,,Opera desktop,,,,,,,Needs to be supported in current and previous major version,,Very important,Very important
572,"Oct 21, 2022 11:45:50 am","Oct 21, 2022 11:45:50 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,Samsung Internet,,,,,Needs to be supported in more than current and previous major version,,Not important,Neutral
573,"Oct 21, 2022 11:58:10 am","Oct 21, 2022 11:58:10 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,No,Neutral,Neutral
574,"Oct 21, 2022 1:02:11 pm","Oct 21, 2022 1:02:11 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Not important,Not important
575,"Oct 21, 2022 1:09:09 pm","Oct 21, 2022 1:09:09 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,,,,,,Depends on the browser,,Not important,Somewhat important
576,"Oct 21, 2022 1:59:40 pm","Oct 21, 2022 1:59:40 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Neutral
577,"Oct 21, 2022 2:13:16 pm","Oct 21, 2022 2:13:16 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,Samsung Internet,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
578,"Oct 21, 2022 2:17:32 pm","Oct 21, 2022 2:17:32 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
579,"Oct 21, 2022 2:28:17 pm","Oct 21, 2022 2:28:17 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Very important
580,"Oct 21, 2022 2:40:46 pm","Oct 21, 2022 2:40:46 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in current and previous major version,,Very important,Very important
581,"Oct 21, 2022 2:49:10 pm","Oct 21, 2022 2:49:10 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Current major version is enough,,Somewhat important,Very important
582,"Oct 21, 2022 3:06:30 pm","Oct 21, 2022 3:06:30 pm",Complete,,,English,https://developer.mozilla.org/,,,,,Android Webview,Firefox desktop,Firefox on Android,,,,,,,,,,,,Current major version is enough,,Neutral,Somewhat important
583,"Oct 21, 2022 3:19:45 pm","Oct 21, 2022 3:19:45 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,,,,Needs to be supported in more than current and previous major version,,Very important,Very important
584,"Oct 21, 2022 3:31:37 pm","Oct 21, 2022 3:31:37 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,,Opera desktop,,Samsung Internet,,,,,Current major version is enough,,Very important,Very important
585,"Oct 21, 2022 3:59:36 pm","Oct 21, 2022 3:59:36 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,,,,Safari desktop,,,,,,,,,Depends on the browser,,Neutral,Neutral
586,"Oct 21, 2022 4:02:30 pm","Oct 21, 2022 4:02:30 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Depends on the browser,,Somewhat important,Somewhat important
587,"Oct 21, 2022 4:18:12 pm","Oct 21, 2022 4:18:12 pm",Partial,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,,,,,,Current major version is enough,,Very important,Very important
588,"Oct 21, 2022 4:21:44 pm","Oct 21, 2022 4:21:44 pm",Complete,,,English,https://developer.mozilla.org/zh-CN/docs/Web/JavaScript/Reference/Statements/while,,,Chrome desktop,,Android Webview,,,,Internet Explorer,,Safari on iOS,,,,,,,,Current major version is enough,sougou,Neutral,Somewhat important
589,"Oct 21, 2022 4:43:29 pm","Oct 21, 2022 4:43:29 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Not important,Somewhat important
590,"Oct 21, 2022 4:55:15 pm","Oct 21, 2022 4:55:15 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,,,,,,,,,,,,,,,,
591,"Oct 21, 2022 5:45:41 pm","Oct 21, 2022 5:45:41 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Neutral
592,"Oct 21, 2022 5:58:10 pm","Oct 21, 2022 5:58:10 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,,,,,,,,,,Depends on the browser,,Very important,Somewhat important
593,"Oct 21, 2022 6:34:26 pm","Oct 21, 2022 6:34:26 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,,,,,,,,,Depends on the browser,,Not important,
594,"Oct 21, 2022 6:52:59 pm","Oct 21, 2022 6:52:59 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Not important,Not important
595,"Oct 21, 2022 7:19:10 pm","Oct 21, 2022 7:19:10 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Very important
596,"Oct 21, 2022 7:47:57 pm","Oct 21, 2022 7:47:57 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
597,"Oct 21, 2022 8:17:32 pm","Oct 21, 2022 8:17:32 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Very important,Very important
598,"Oct 21, 2022 8:30:22 pm","Oct 21, 2022 8:30:22 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Very important
599,"Oct 21, 2022 8:41:08 pm","Oct 21, 2022 8:41:08 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,,Edge desktop,,,,,,Samsung Internet,,,,,Current major version is enough,,Neutral,Somewhat important
600,"Oct 21, 2022 8:58:08 pm","Oct 21, 2022 8:58:08 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,Android Webview,,Firefox on Android,,,,Safari on iOS,,,Samsung Internet,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
601,"Oct 21, 2022 9:48:26 pm","Oct 21, 2022 9:48:26 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Very important
602,"Oct 21, 2022 10:08:03 pm","Oct 21, 2022 10:08:03 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Current major version is enough,,Neutral,Somewhat important
603,"Oct 21, 2022 10:29:02 pm","Oct 21, 2022 10:29:02 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,,Opera desktop,,,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Somewhat important
604,"Oct 21, 2022 10:41:11 pm","Oct 21, 2022 10:41:11 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,,,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Neutral
605,"Oct 21, 2022 11:07:22 pm","Oct 21, 2022 11:07:23 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,Firefox on Android,,,,,,,,,Other - Please specify,,"Brave desktop, Brave android",Current major version is enough,Brave browser,Very important,Somewhat important
606,"Oct 21, 2022 11:09:40 pm","Oct 21, 2022 11:09:40 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,,,,,,,,,,,,
607,"Oct 21, 2022 11:15:34 pm","Oct 21, 2022 11:15:34 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,Other - Please specify,,Seznam.cz browser,Depends on the browser,Internet Explorer,Somewhat important,Somewhat important
608,"Oct 21, 2022 11:17:31 pm","Oct 21, 2022 11:17:31 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Current major version is enough,,Neutral,Neutral
609,"Oct 21, 2022 11:22:09 pm","Oct 21, 2022 11:22:09 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,,Firefox on Android,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,Other - Please specify,,,,,,
610,"Oct 21, 2022 11:44:52 pm","Oct 21, 2022 11:44:52 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
